Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2014 [YR2014],2017 [YR2017],2021 [YR2021],2022 [YR2022],2024 [YR2024]
Angola,AGO,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,39.2035423430619,29.3181213047365,..,..,..,..
Benin,BEN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,10.4639370332736,15.9799341770555,31.8845145644183,23.7882555934103,..,19.9061777922869
Botswana,BWA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,30.2600142850791,49.2435843039061,44.8283061347872,..,49.879700284735,41.6043563988356
Burkina Faso,BFA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,13.3530920184137,13.4244858663995,23.3405271846963,21.052643162732,..,20.5498915198531
Burundi,BDI,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,7.23798460936825,6.9434607228924,..,..,..,..
Cameroon,CMR,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,14.8096124143559,11.3510369228651,26.8667701820372,23.5348523029986,..,20.9972994048439
Central African Republic,CAF,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,3.30080913421627,..,13.745946426537,..,..,..
Chad,TCD,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,8.95974560162476,7.69949805991659,8.75349682388744,..,18.3170383078721,15.0020897881618
Comoros,COM,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,21.6946740447008,..,..,..,30.5175092606015,40.8476637365756
"Congo, Dem. Rep.",COD,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,3.6967262381342,10.9075909964322,14.9951963586632,..,9.62749157451024,13.5068648234481
"Congo, Rep.",COG,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,10.0480565895901,16.6836553836297,23.2579673827415,18.1228885337368,..,14.7200013718558
Cote d'Ivoire,CIV,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,15.1362556502263,14.7665969057908,20.5734957040915,..,16.8252204502837
Eswatini,SWZ,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,28.5694412970381,..,..,..,38.4701268980029,43.1356221547265
Ethiopia,ETH,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,21.7915817461286,34.827569921105,..,46.0486468187906,48.4704021453687
Gabon,GAB,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,18.9465176301576,30.154553647314,33.9846588320482,27.5526987934855,..,24.8315311680186
"Gambia, The",GMB,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,..,28.5604825414567,..,31.3944838772151,30.8469116498275
Ghana,GHA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,29.4253535855083,34.6183758293809,42.284165843761,39.1966216447679,..,38.7411033756908
Guinea,GIN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,3.68785001184746,6.17012732261294,14.6278775039943,13.7707459061996,..,16.903357058626
Kenya,KEN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,42.3434543670765,55.2055402464336,55.717951716171,50.5732474178534,..,45.4278443671719
Lesotho,LSO,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,18.4970245352396,..,33.3214801090339,..,44.3659163348698,33.5292030790839
Liberia,LBR,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,18.8014652359501,..,21.5834357764659,28.5893414057709,..,13.8832555942459
Libya,LBY,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,..,65.6675223019684,..,..,33.1190908215163
Madagascar,MDG,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,5.52322253357914,5.72748862431776,9.56966919703177,..,13.9970190675042,9.45326625355516
Malawi,MWI,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,16.5406103840842,16.1356668432323,22.9912849837888,20.2217056087294,..,12.4066910444222
Mali,MLI,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,8.21385340194332,13.2534052215625,18.1539429704884,28.4429089637515,..,18.4475281208862
Mauritania,MRT,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,17.46181510476,20.4453831413017,19.0310601493684,..,20.3959784994805,27.3142609920985
Mauritius,MUS,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,80.1232107704602,82.2082721727861,89.4947190892484,89.9558712970738,..,89.5179808040253
Mozambique,MOZ,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,..,33.0030017588753,38.6349226972918,..,25.0840349014967
Namibia,NAM,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,58.0632429478679,77.3441947115669,65.5741645476558,..,62.6974953762263
Niger,NER,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,1.52169870544605,3.49004442022549,9.51615195660217,..,8.54967780561718,12.6669935650172
Nigeria,NGA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,29.6675376842052,44.1732003380303,39.4054476331685,45.1398256242319,..,59.7277056302937
Rwanda,RWA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,32.7638222447295,38.1448873395443,36.6573707414994,..,..,..
Senegal,SEN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,5.82114104684157,11.9218112942993,20.3567181800257,28.1348260660002,..,48.0495953309074
Sierra Leone,SLE,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,15.3417553850215,14.1488477275695,12.3869677810364,13.7777878625853,..,15.0133411940838
Somalia,SOM,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,7.85571743509417,..,..,..,..
South Africa,ZAF,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,53.6450756317438,68.7672341517471,67.4369196055713,84.1121968797668,..,78.4330264359328
South Sudan,SSD,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,..,..,8.57000393149026,5.48299401024283,..,..
Sudan,SDN,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,6.89979785197721,15.2684332808943,..,..,..,..
Tanzania,TZA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,17.2577675334801,19.0412307204566,20.9722323619117,23.3210156407006,..,21.944173366806
Togo,TGO,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,10.1852402521278,17.6149230031841,34.0679410589978,24.9001486748657,..,32.4420270880364
Uganda,UGA,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,20.4614192079115,27.7834243236389,32.8440546479748,36.5607928208586,..,26.1733236510639
Zambia,ZMB,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,21.3649091881019,31.292416860677,35.830035777146,23.8444618623913,..,24.072373432087
Zimbabwe,ZWE,Bank or similar financial institution account  (% age 15+),fiaccount.t.d,39.651208895891,17.1894919246347,28.1799818696936,29.2496946936906,..,21.5661530622998
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Global Findex database,,,,,,,,,
Last Updated: 10/06/2025,,,,,,,,,
